date,year,month,month_name,week,day_of_week,day_name,quarter,is_weekend
2011-02-16,2011,2,February,7,2,Wednesday,1,0
2011-02-17,2011,2,February,7,3,Thursday,1,0
2011-02-18,2011,2,February,7,4,Friday,1,0
2011-02-19,2011,2,February,7,5,Saturday,1,1
2011-02-20,2011,2,February,7,6,Sunday,1,1
2011-02-21,2011,2,February,8,0,Monday,1,0
2011-02-22,2011,2,February,8,1,Tuesday,1,0
2011-02-23,2011,2,February,8,2,Wednesday,1,0
2011-02-24,2011,2,February,8,3,Thursday,1,0
2011-02-25,2011,2,February,8,4,Friday,1,0
2011-02-26,2011,2,February,8,5,Saturday,1,1
2011-02-27,2011,2,February,8,6,Sunday,1,1
2011-02-28,2011,2,February,9,0,Monday,1,0
2011-03-01,2011,3,March,9,1,Tuesday,1,0
2011-03-02,2011,3,March,9,2,Wednesday,1,0
2011-03-03,2011,3,March,9,3,Thursday,1,0
2011-03-04,2011,3,March,9,4,Friday,1,0
2011-03-05,2011,3,March,9,5,Saturday,1,1
2011-03-06,2011,3,March,9,6,Sunday,1,1
2011-03-07,2011,3,March,10,0,Monday,1,0
2011-03-08,2011,3,March,10,1,Tuesday,1,0
2011-03-09,2011,3,March,10,2,Wednesday,1,0
2011-03-10,2011,3,March,10,3,Thursday,1,0
2011-03-11,2011,3,March,10,4,Friday,1,0
2011-03-12,2011,3,March,10,5,Saturday,1,1
2011-03-13,2011,3,March,10,6,Sunday,1,1
2011-03-14,2011,3,March,11,0,Monday,1,0
2011-03-15,2011,3,March,11,1,Tuesday,1,0
2011-03-16,2011,3,March,11,2,Wednesday,1,0
2011-03-17,2011,3,March,11,3,Thursday,1,0
2011-03-18,2011,3,March,11,4,Friday,1,0
2011-03-19,2011,3,March,11,5,Saturday,1,1
2011-03-20,2011,3,March,11,6,Sunday,1,1
2011-03-21,2011,3,March,12,0,Monday,1,0
2011-03-22,2011,3,March,12,1,Tuesday,1,0
2011-03-23,2011,3,March,12,2,Wednesday,1,0
2011-03-24,2011,3,March,12,3,Thursday,1,0
2011-03-25,2011,3,March,12,4,Friday,1,0
2011-03-26,2011,3,March,12,5,Saturday,1,1
2011-03-27,2011,3,March,12,6,Sunday,1,1
2011-03-28,2011,3,March,13,0,Monday,1,0
2011-03-29,2011,3,March,13,1,Tuesday,1,0
2011-03-30,2011,3,March,13,2,Wednesday,1,0
2011-03-31,2011,3,March,13,3,Thursday,1,0
2011-04-01,2011,4,April,13,4,Friday,2,0
2011-04-02,2011,4,April,13,5,Saturday,2,1
2011-04-03,2011,4,April,13,6,Sunday,2,1
2011-04-04,2011,4,April,14,0,Monday,2,0
2011-04-05,2011,4,April,14,1,Tuesday,2,0
2011-04-06,2011,4,April,14,2,Wednesday,2,0
2011-04-07,2011,4,April,14,3,Thursday,2,0
2011-04-08,2011,4,April,14,4,Friday,2,0
2011-04-09,2011,4,April,14,5,Saturday,2,1
2011-04-10,2011,4,April,14,6,Sunday,2,1
2011-04-11,2011,4,April,15,0,Monday,2,0
2011-04-12,2011,4,April,15,1,Tuesday,2,0
2011-04-13,2011,4,April,15,2,Wednesday,2,0
2011-04-14,2011,4,April,15,3,Thursday,2,0
2011-04-15,2011,4,April,15,4,Friday,2,0
2011-04-16,2011,4,April,15,5,Saturday,2,1
2011-04-17,2011,4,April,15,6,Sunday,2,1
2011-04-18,2011,4,April,16,0,Monday,2,0
