date,week,month,year,season,is_holiday,promo_event,promo_flag_calendar
2010-09-07,36,9,2010,Autumn,0,,0
2010-09-08,36,9,2010,Autumn,0,,0
2010-09-09,36,9,2010,Autumn,0,,0
2010-09-10,36,9,2010,Autumn,0,,0
2010-09-11,36,9,2010,Autumn,0,,0
2010-09-12,36,9,2010,Autumn,0,,0
2010-09-13,37,9,2010,Autumn,0,,0
2010-09-14,37,9,2010,Autumn,0,,0
2010-09-15,37,9,2010,Autumn,0,,0
2010-09-16,37,9,2010,Autumn,0,,0
2010-09-17,37,9,2010,Autumn,0,,0
2010-09-18,37,9,2010,Autumn,0,,0
2010-09-19,37,9,2010,Autumn,0,,0
2010-09-20,38,9,2010,Autumn,0,,0
2010-09-21,38,9,2010,Autumn,0,,0
2010-09-22,38,9,2010,Autumn,0,,0
2010-09-23,38,9,2010,Autumn,0,,0
2010-09-24,38,9,2010,Autumn,0,,0
2010-09-25,38,9,2010,Autumn,0,,0
2010-09-26,38,9,2010,Autumn,0,,0
2010-09-27,39,9,2010,Autumn,0,,0
2010-09-28,39,9,2010,Autumn,0,,0
2010-09-29,39,9,2010,Autumn,0,,0
2010-09-30,39,9,2010,Autumn,0,,0
2010-10-01,39,10,2010,Autumn,0,,0
2010-10-02,39,10,2010,Autumn,0,,0
2010-10-03,39,10,2010,Autumn,0,,0
2010-10-04,40,10,2010,Autumn,0,,0
2010-10-05,40,10,2010,Autumn,0,,0
2010-10-06,40,10,2010,Autumn,0,,0
2010-10-07,40,10,2010,Autumn,0,,0
2010-10-08,40,10,2010,Autumn,0,,0
2010-10-09,40,10,2010,Autumn,0,,0
2010-10-10,40,10,2010,Autumn,0,,0
2010-10-11,41,10,2010,Autumn,0,,0
2010-10-12,41,10,2010,Autumn,0,,0
2010-10-13,41,10,2010,Autumn,0,,0
2010-10-14,41,10,2010,Autumn,0,,0
2010-10-15,41,10,2010,Autumn,0,,0
2010-10-16,41,10,2010,Autumn,0,,0
2010-10-17,41,10,2010,Autumn,0,,0
2010-10-18,42,10,2010,Autumn,0,,0
2010-10-19,42,10,2010,Autumn,0,,0
2010-10-20,42,10,2010,Autumn,0,,0
2010-10-21,42,10,2010,Autumn,0,,0
2010-10-22,42,10,2010,Autumn,0,,0
2010-10-23,42,10,2010,Autumn,0,,0
2010-10-24,42,10,2010,Autumn,0,,0
2010-10-25,43,10,2010,Autumn,0,,0
2010-10-26,43,10,2010,Autumn,0,,0
2010-10-27,43,10,2010,Autumn,0,,0
2010-10-28,43,10,2010,Autumn,0,,0
2010-10-29,43,10,2010,Autumn,0,,0
2010-10-30,43,10,2010,Autumn,0,,0
2010-10-31,43,10,2010,Autumn,0,,0
2010-11-01,44,11,2010,Autumn,0,,0
2010-11-02,44,11,2010,Autumn,0,,0
2010-11-03,44,11,2010,Autumn,0,,0
2010-11-04,44,11,2010,Autumn,0,,0
2010-11-05,44,11,2010,Autumn,0,,0
2010-11-06,44,11,2010,Autumn,0,,0
2010-11-07,44,11,2010,Autumn,0,,0
2010-11-08,45,11,2010,Autumn,0,,0
2010-11-09,45,11,2010,Autumn,0,,0
2010-11-10,45,11,2010,Autumn,0,,0
2010-11-11,45,11,2010,Autumn,0,,0
2010-11-12,45,11,2010,Autumn,0,,0
2010-11-13,45,11,2010,Autumn,0,,0
2010-11-14,45,11,2010,Autumn,0,,0
2010-11-15,46,11,2010,Autumn,0,,0
2010-11-16,46,11,2010,Autumn,0,,0
2010-11-17,46,11,2010,Autumn,0,,0
2010-11-18,46,11,2010,Autumn,0,,0
2010-11-19,46,11,2010,Autumn,0,,0
2010-11-20,46,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-21,46,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-22,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-23,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-24,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-25,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-26,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-27,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-28,47,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-29,48,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-11-30,48,11,2010,Autumn,0,Black Friday / Cyber Monday,1
2010-12-01,48,12,2010,Winter,0,Christmas Run-up,1
2010-12-02,48,12,2010,Winter,0,Christmas Run-up,1
2010-12-03,48,12,2010,Winter,0,Christmas Run-up,1
2010-12-04,48,12,2010,Winter,0,Christmas Run-up,1
2010-12-05,48,12,2010,Winter,0,Christmas Run-up,1
2010-12-06,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-07,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-08,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-09,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-10,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-11,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-12,49,12,2010,Winter,0,Christmas Run-up,1
2010-12-13,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-14,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-15,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-16,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-17,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-18,50,12,2010,Winter,0,Christmas Run-up,1
2010-12-19,50,12,2010,Winter,0,,0
2010-12-20,51,12,2010,Winter,0,,0
2010-12-21,51,12,2010,Winter,0,,0
2010-12-22,51,12,2010,Winter,0,,0
2010-12-23,51,12,2010,Winter,0,,0
2010-12-24,51,12,2010,Winter,0,,0
2010-12-25,51,12,2010,Winter,1,,0
2010-12-26,51,12,2010,Winter,1,,0
2010-12-27,52,12,2010,Winter,1,,0
2010-12-28,52,12,2010,Winter,1,,0
2010-12-29,52,12,2010,Winter,0,,0
2010-12-30,52,12,2010,Winter,0,,0
2010-12-31,52,12,2010,Winter,0,,0
2011-01-01,52,1,2011,Winter,1,January Sale,1
2011-01-02,52,1,2011,Winter,0,January Sale,1
2011-01-03,1,1,2011,Winter,1,January Sale,1
2011-01-04,1,1,2011,Winter,0,January Sale,1
2011-01-05,1,1,2011,Winter,0,January Sale,1
2011-01-06,1,1,2011,Winter,0,January Sale,1
2011-01-07,1,1,2011,Winter,0,January Sale,1
2011-01-08,1,1,2011,Winter,0,January Sale,1
2011-01-09,1,1,2011,Winter,0,January Sale,1
2011-01-10,2,1,2011,Winter,0,January Sale,1
2011-01-11,2,1,2011,Winter,0,January Sale,1
2011-01-12,2,1,2011,Winter,0,January Sale,1
2011-01-13,2,1,2011,Winter,0,January Sale,1
2011-01-14,2,1,2011,Winter,0,January Sale,1
2011-01-15,2,1,2011,Winter,0,January Sale,1
2011-01-16,2,1,2011,Winter,0,,0
2011-01-17,3,1,2011,Winter,0,,0
2011-01-18,3,1,2011,Winter,0,,0
2011-01-19,3,1,2011,Winter,0,,0
2011-01-20,3,1,2011,Winter,0,,0
2011-01-21,3,1,2011,Winter,0,,0
2011-01-22,3,1,2011,Winter,0,,0
2011-01-23,3,1,2011,Winter,0,,0
2011-01-24,4,1,2011,Winter,0,,0
2011-01-25,4,1,2011,Winter,0,,0
2011-01-26,4,1,2011,Winter,0,,0
2011-01-27,4,1,2011,Winter,0,,0
2011-01-28,4,1,2011,Winter,0,,0
2011-01-29,4,1,2011,Winter,0,,0
2011-01-30,4,1,2011,Winter,0,,0
2011-01-31,5,1,2011,Winter,0,,0
2011-02-01,5,2,2011,Winter,0,,0
2011-02-02,5,2,2011,Winter,0,,0
2011-02-03,5,2,2011,Winter,0,,0
2011-02-04,5,2,2011,Winter,0,,0
2011-02-05,5,2,2011,Winter,0,,0
2011-02-06,5,2,2011,Winter,0,,0
2011-02-07,6,2,2011,Winter,0,,0
2011-02-08,6,2,2011,Winter,0,,0
2011-02-09,6,2,2011,Winter,0,,0
2011-02-10,6,2,2011,Winter,0,,0
